mapmaker_name,mapmaker_id,map_or_book_id,country,city,date
Girolamo Bell' Armato,10.0,1.10,Belgium,Antwerp,1578
Peter Böckel,11.0,1.2,Belgium,Antwerp,1578
Jean Chaumeau,19.0,1.3,Belgium,Antwerp,1578
Jacob van Deventer,25.0,4.10,Belgium,Antwerp,1578
Giacomo Gastaldi,30.0,2.7,Belgium,Antwerp,1578
Giacomo Gastaldi,30.0,85.3,Belgium,Antwerp,1578
Giacomo Gastaldi,30.0,90.6,Belgium,Antwerp,1578
Giacomo Gastaldi,30.0,91.2,Belgium,Antwerp,1578
Giacomo Gastaldi,30.0,92.2,Belgium,Antwerp,1578
Giacomo Gastaldi,30.0,98.7,Belgium,Antwerp,1578
Giacomo Gastaldi,30.0,107.2,Belgium,Antwerp,1578
Martin Helwig,38.0,1.13,Belgium,Antwerp,1578
Augustin Hirschvogel,40.0,9.4,Belgium,Antwerp,1578
Anthony Jenkinson,43.0,1.3,Belgium,Antwerp,1578
Anthony Jenkinson,43.0,1.4,Belgium,Antwerp,1578
Marcus Jordan,45.0,3.1,Belgium,Antwerp,1578
Wolfgang Lazius,49.0,76,Belgium,Antwerp,1578
Pirro Ligorio,51.0,5.2,Belgium,Antwerp,1578
Pirro Ligorio,51.0,9.1,Belgium,Antwerp,1578
Pirro Ligorio,51.0,10.1,Belgium,Antwerp,1578
Godfried Mascop · 367,54.0,1.3,Belgium,Antwerp,1578
Johannes Mellinger,55.0,1.2,Belgium,Antwerp,1578
Gerard Mercator,56.0,6.12,Belgium,Antwerp,1578
Sebastian Munster,58.0,52.3,Belgium,Antwerp,1578
Erhart Reich,63.0,1.2,Belgium,Antwerp,1578
Sebastian Rotenhan · 453,64.0,1.7,Belgium,Antwerp,1578
Fernando Alvares Seco,67.0,1.3,Belgium,Antwerp,1578
Marcus Secsnagel,68.0,1.3,Belgium,Antwerp,1578
Christian Sgrooten,70.0,17,Belgium,Antwerp,1578
Christian Sgrooten,70.0,18,Belgium,Antwerp,1578
Tilemann Stella,72.0,1:2,Belgium,Antwerp,1578
Aegidius Tschudi · 547 25,78.0,1.12,Belgium,Antwerp,1578
Heinrich Zell,84.0,2.4,Belgium,Antwerp,1578
Heinrich Zell,84.0,5.8,Belgium,Antwerp,1578
Matthias Zündt,88.0,5.1,Belgium,Antwerp,1578
Abraham Ortelius,1.0,106,Belgium,Antwerp,1579
Abraham Ortelius,1.0,107,Belgium,Antwerp,1579
Abraham Ortelius,1.0,108,Belgium,Antwerp,1579
Abraham Ortelius,1.0,109,Belgium,Antwerp,1579
Abraham Ortelius,1.0,110,Belgium,Antwerp,1579
Abraham Ortelius,1.0,111,Belgium,Antwerp,1579
Abraham Ortelius,1.0,112,Belgium,Antwerp,1579
Abraham Ortelius,1.0,113,Belgium,Antwerp,1579
Abraham Ortelius,1.0,114,Belgium,Antwerp,1579
Abraham Ortelius,1.0,115,Belgium,Antwerp,1579
Abraham Ortelius,1.0,116,Belgium,Antwerp,1579
Abraham Ortelius,1.0,117,Belgium,Antwerp,1579
Abraham Ortelius,1.0,118,Belgium,Antwerp,1579
Abraham Ortelius,1.0,119,Belgium,Antwerp,1579
Abraham Ortelius,1.0,120,Belgium,Antwerp,1579
Abraham Ortelius,1.0,121,Belgium,Antwerp,1579
Abraham Ortelius,1.0,122,Belgium,Antwerp,1579
Abraham Ortelius,1.0,123,Belgium,Antwerp,1579
Abraham Ortelius,1.0,124,Belgium,Antwerp,1579
Abraham Ortelius,1.0,125,Belgium,Antwerp,1579
Abraham Ortelius,1.0,126,Belgium,Antwerp,1579
Abraham Ortelius,1.0,127,Belgium,Antwerp,1579
Abraham Ortelius,1.0,128,Belgium,Antwerp,1579
Abraham Ortelius,1.0,129,Belgium,Antwerp,1579
Abraham Ortelius,1.0,130,Belgium,Antwerp,1579
Abraham Ortelius,1.0,131,Belgium,Antwerp,1579
Abraham Ortelius,1.0,J[],Belgium,Antwerp,1579
Marcus Jordan,45.0,3.2,Belgium,Antwerp,1579
Ferdinand de Lannoy,48.0,2.1,Belgium,Antwerp,1579
Peter Laicksteen,47.0,2.2,Belgium,Antwerp,1580
Peter Laicksteen,47.0,3.2,Belgium,Antwerp,1580
André Thevet,77.0,40.1,Belgium,Antwerp,1580
Cornelis Anthoniszoon,6.0,11.6,Belgium,Antwerp,1581
Peter Apian,7.0,E,Belgium,Antwerp,1581
Gemma Frisius,29.0,A,Belgium,Antwerp,1581
Gemma Frisius,29.0,E,Belgium,Antwerp,1581
Gemma Frisius,29.0,F,Belgium,Antwerp,1581
Gerard Mercator,56.0,6.13,Belgium,Antwerp,1581
Charles de l'Escluse,26.0,C,Belgium,Antwerp,1582
Gemma Frisius,29.0,E,Belgium,Antwerp,1582
Charles de l'Escluse,26.0,D,Belgium,Antwerp,1583
Abraham Ortelius,1.0,132,Belgium,Antwerp,1584
Abraham Ortelius,1.0,133,Belgium,Antwerp,1584
Abraham Ortelius,1.0,134,Belgium,Antwerp,1584
Abraham Ortelius,1.0,135,Belgium,Antwerp,1584
Abraham Ortelius,1.0,136,Belgium,Antwerp,1584
Abraham Ortelius,1.0,137,Belgium,Antwerp,1584
Abraham Ortelius,1.0,138,Belgium,Antwerp,1584
Abraham Ortelius,1.0,139,Belgium,Antwerp,1584
Abraham Ortelius,1.0,140,Belgium,Antwerp,1584
Abraham Ortelius,1.0,141,Belgium,Antwerp,1584
Abraham Ortelius,1.0,142,Belgium,Antwerp,1584
Abraham Ortelius,1.0,143,Belgium,Antwerp,1584
Abraham Ortelius,1.0,144,Belgium,Antwerp,1584
Abraham Ortelius,1.0,145,Belgium,Antwerp,1584
Abraham Ortelius,1.0,146,Belgium,Antwerp,1584
Abraham Ortelius,1.0,147,Belgium,Antwerp,1584
Abraham Ortelius,1.0,148,Belgium,Antwerp,1584
Abraham Ortelius,1.0,149,Belgium,Antwerp,1584
Abraham Ortelius,1.0,150,Belgium,Antwerp,1584
Abraham Ortelius,1.0,151,Belgium,Antwerp,1584
Abraham Ortelius,1.0,152,Belgium,Antwerp,1584
Abraham Ortelius,1.0,153,Belgium,Antwerp,1584
Abraham Ortelius,1.0,154,Belgium,Antwerp,1584
Abraham Ortelius,1.0,155,Belgium,Antwerp,1584
Abraham Ortelius,1.0,156,Belgium,Antwerp,1584
Abraham Ortelius,1.0,157,Belgium,Antwerp,1584
Abraham Ortelius,1.0,158,Belgium,Antwerp,1584
Abraham Ortelius,1.0,159,Belgium,Antwerp,1584
Abraham Ortelius,1.0,160,Belgium,Antwerp,1584
Abraham Ortelius,1.0,161,Belgium,Antwerp,1584
Abraham Ortelius,1.0,162,Belgium,Antwerp,1584
Abraham Ortelius,1.0,163,Belgium,Antwerp,1584
Abraham Ortelius,1.0,K[],Belgium,Antwerp,1584
Abraham Ortelius,1.0,L[],Belgium,Antwerp,1584
Peter Apian,7.0,E,Belgium,Antwerp,1584
Gilles Boileau de Buillon,12.0,20.3,Belgium,Antwerp,1584
Gemma Frisius,29.0,A,Belgium,Antwerp,1584
Gemma Frisius,29.0,F,Belgium,Antwerp,1584
Giacomo Gastaldi,30.0,86.4,Belgium,Antwerp,1584
Peter Laicksteen,47.0,1.2,Belgium,Antwerp,1584
Christian Sgrooten,70.0,11.2,Belgium,Antwerp,1585
